"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-23,2026-08-23,"VD | Sales | Seasonal Best Sellers | DPA",active,2,actions:offsite_conversion.fb_pixel_purchase,89.75,506,Daily,179.5,2918,1857,1.571352,61.514736,Ongoing,"7-day click or 1-day view",6.660056,2,1195.48,action_values:offsite_conversion.fb_pixel_purchase,28,0.959561,4.079545,35,20,1,2,5
2026-08-23,2026-08-23,"VD | Sales | Trousers | DPA",active,,,,174,Daily,204.38,3492,1914,1.824451,58.528064,Ongoing,"7-day click or 1-day view",,,,,48,1.37457,3.585614,51,45,6,2,
2026-08-23,2026-08-23,"VD | Broad | Awareness",active,27176,reach,8.36399764,196,Daily,227.3,34235,27176,1.259751,6.639404,Ongoing,"7-day click or 1-day view",,,,,9,0.026289,11.365,544,6,,,27
2026-08-23,2026-08-23,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-23,2026-08-23,"VD | Retargeting | DPA",active,1,actions:offsite_conversion.fb_pixel_purchase,239.77,370,Daily,239.77,4246,2138,1.985968,56.469618,Ongoing,"7-day click",1.104934,1,264.93,action_values:offsite_conversion.fb_pixel_purchase,98,2.308055,2.179727,121,87,17,5,8
2026-08-23,2026-08-23,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-23,2026-08-23,"VD | Broad | Prospecting | Sales",active,9,actions:offsite_conversion.fb_pixel_purchase,63.35222222,370,Daily,570.17,7451,4110,1.812895,76.522614,Ongoing,"7-day click",9.32578,9,5317.28,action_values:offsite_conversion.fb_pixel_purchase,198,2.657361,2.415975,331,177,19,9,32
2026-08-23,2026-08-23,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-23,2026-08-23,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,4,actions:offsite_conversion.fb_pixel_purchase,87.42,327,Daily,349.68,8863,6203,1.428825,39.45391,Ongoing,"7-day click or 1-day view",16.208076,4,5667.64,action_values:offsite_conversion.fb_pixel_purchase,106,1.195983,2.753386,107,92,15,5,
2026-08-23,2026-08-23,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,2,actions:offsite_conversion.fb_pixel_purchase,247.265,300,Daily,494.53,12367,8802,1.405022,39.987871,Ongoing,"7-day click or 1-day view",2.612582,2,1292,action_values:offsite_conversion.fb_pixel_purchase,213,1.722326,2.01849,251,185,7,3,4
2026-08-23,2026-08-23,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-23,2026-08-23,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-23,2026-08-23,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-23,2026-08-23,"Ongoing | Retargeting | Sales | Dynamic Abandoned Cart - 30 Days | SH",inactive,,,,6.5,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-23,2026-08-23,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-23,2026-08-23,"5/6 Michelle Job add - KAM Jylland",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-23,2026-08-23,"4/1 2024 - RM - UK Campaign",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
